Volunteer_id,First_name,Last_name,Birthday,Phone,Active
394505352,Avraham,Mizrahi,1979-05-27,507128223,T
235840057,Tamar,Malka,1959-04-09,514866873,T
165585690,Omer,Cohen,1959-07-31,586651087,F
993986630,Miriam,Mizrahi,1996-08-21,514076553,T
374875874,Sara,Dahan,1975-02-09,547546326,T
923609252,Nadav,Tal,1960-01-27,528299614,T
461822564,Nadav,Shapiro,1970-06-16,543790224,T
436878005,David,Tal,1965-01-15,524403140,F
228431425,Shira,Tal,1995-06-05,512697348,T
826962624,Shira,Avraham,1961-07-01,504964247,F
696550592,Miriam,Malka,2002-01-27,513963145,F
246548814,Miriam,Friedman,1974-02-03,528751737,F
946605675,Nadav,Rosenberg,1997-04-11,556568470,F
682367795,David,Mizrahi,1952-06-15,558926604,F
247796511,Sara,Rosenberg,1986-03-16,526217716,T
353775631,Noam,Cohen,1986-01-29,503282182,T
457761908,Noam,Katz,1977-07-27,522558983,F
196570610,Eli,Baruch,1970-04-05,525769068,T
410425616,Tamar,Peretz,1965-02-28,528048461,F
352438579,Yosef,Cohen,1975-07-05,548889282,F
880638443,Shira,Levi,1955-12-20,542400948,T
454152910,Yael,Rosenberg,1983-03-05,528032203,F
652100224,Yosef,Dahan,1957-08-27,588866757,F
889744043,Shira,Baruch,1968-12-17,549147327,F
906231220,Moshe,Malka,1989-12-11,516117389,F
214059059,Nadav,Mizrahi,1961-04-07,543080061,F
833778676,Rivka,Avraham,1993-10-03,526273030,F
420993116,Yosef,Friedman,1956-09-25,586364158,T
457181445,Miriam,Golan,2001-05-12,585176091,T
299836191,Itai,Katz,1961-09-27,513029324,T
145728989,Rivka,Rosenberg,1994-10-30,549093720,F
719625058,Itai,Rosenberg,2008-08-06,513313261,T
134682708,Eli,Friedman,1951-11-28,517370835,F
570833254,Nadav,Levi,1969-03-11,581827629,T
113040711,Miriam,Avraham,1955-05-13,502549740,T
346429196,Shira,Tal,1972-10-20,516143863,T
883221237,Rivka,Mizrahi,1989-03-14,501647731,F
428742862,Nadav,Mizrahi,1969-09-12,552291125,T
348838452,Nadav,Peretz,1993-09-18,558745283,T
621546011,Avraham,Goldstein,1960-11-17,554249758,F
369167997,Noam,Dahan,1951-10-13,513827250,F
